Source,Date,Obsolescence Date,Business Name,Legal Name,Physical Address,Physical Address Number,Physical Pre Direction,Physical Address Name,Physical Address Suffix,Physical Post Direction,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Middle Initial,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Mailing Address,Mailing Address Number,Mailing Pre Direction,Mailing Address Name,Mailing Address Suffix,Mailing Post Direction,Mailing City,Mailing State,Mailing ZIP,Mailing ZIP 4,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,EIN,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,SIC02,SIC02.Description,SIC03,SIC03.Description,SIC04,SIC04.Description,SIC05,SIC05.Description,SIC06,SIC06.Description,SIC07,SIC07.Description,SIC08,SIC08.Description,SIC09,SIC09.Description,SIC10,SIC10.Description,NAICS 1,NAICS 1 Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,NAICS 5,NAICS 5 Description,NAICS 6,NAICS 6 Description,NAICS 7,NAICS 7 Description,NAICS 8,NAICS 8 Description,NAICS 9,NAICS 9 Description,NAICS 10,NAICS 10 Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Ticker Symbol,Stock Exchange,Fortune 1000 Ranking,Credit Score,2021 Revenue/Yr,2020 Revenue/Yr,2019 Revenue/Yr,2018 Revenue/Yr,2020 % Sales Growth,2019 % Sales Growth,2018 % Sales Growth,2021 Employees,2020 Employees,2019 Employees,2018 Employees,2020 % Employee Growth,2019 % Employee Growth,2018 % Employee Growth,Executive First Name 1,Executive Last Name 1,Executive Title 1,Executive Gender 1,Executive Department 1,Executive First Name 2,Executive Last Name 2,Executive Title 2,Executive Gender 2,Executive Department 2,Executive First Name 3,Executive Last Name 3,Executive Title 3,Executive Gender 3,Executive Department 3,Executive First Name 4,Executive Last Name 4,Executive Title 4,Executive Gender 4,Executive Department 4,Executive First Name 5,Executive Last Name 5,Executive Title 5,Executive Gender 5,Executive Department 5,Executive First Name 6,Executive Last Name 6,Executive Title 6,Executive Gender 6,Executive Department 6,Executive First Name 7,Executive Last Name 7,Executive Title 7,Executive Gender 7,Executive Department 7,Executive First Name 8,Executive Last Name 8,Executive Title 8,Executive Gender 8,Executive Department 8,Executive First Name 9,Executive Last Name 9,Executive Title 9,Executive Gender 9,Executive Department 9,Executive First Name 10,Executive Last Name 10,Executive Title 10,Executive Gender 10,Executive Department 10,Executive First Name 11,Executive Last Name 11,Executive Title 11,Executive Gender 11,Executive Department 11,Executive First Name 12,Executive Last Name 12,Executive Title 12,Executive Gender 12,Executive Department 12,Executive First Name 13,Executive Last Name 13,Executive Title 13,Executive Gender 13,Executive Department 13,Executive First Name 14,Executive Last Name 14,Executive Title 14,Executive Gender 14,Executive Department 14,Executive First Name 15,Executive Last Name 15,Executive Title 15,Executive Gender 15,Executive Department 15,Executive First Name 16,Executive Last Name 16,Executive Title 16,Executive Gender 16,Executive Department 16,Executive First Name 17,Executive Last Name 17,Executive Title 17,Executive Gender 17,Executive Department 17,Executive First Name 18,Executive Last Name 18,Executive Title 18,Executive Gender 18,Executive Department 18,Executive First Name 19,Executive Last Name 19,Executive Title 19,Executive Gender 19,Executive Department 19,Executive First Name 20,Executive Last Name 20,Executive Title 20,Executive Gender 20,Executive Department 20,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,AtoZ ID,Home Based Business,Franchise Type,Holding Parent Name,Other_Source ,
"AtoZDatabases","09/25/2022","03/25/2023","Horizons Holdings International Corp","","3651 Lindell Rd","3651","","Lindell","Rd","","Las Vegas","NV","89103","1254","Brian Conrad","Brian","","Conrad","Chief Executive Officer","Male","6","6","$9,979,000","3651 Lindell Rd","3651","","Lindell","Rd","","Las Vegas","NV","89103","1254","(702) 425-8627","N/A","N/A","Clark","500,000 or more","Las Vegas-Henderson-Paradise, ","36.12327","-115.217081","","Non-Bank Holding Companies","Headquarters","","No","6719001","Non-Bank Holding Companies","","","","","","","","","","","","","","","","","","","551112","Offices of Other Holding Companies","","","","","","","","","","","","","","","","","","","No","5 to 9","Public","No","1,000 to 4,999","www.horizonsholdings.com","No","1969","","","","100","11532000","11762640","0","0","-2.0","0.0","0.0","8","8","","","0.0","0.0","0.0","Brian","Conrad","Chief Executive Officer","Male","Administration & Operations","Donald","Wernsing","Executive Officer","Male","Accounting & Finance","Jeffrey","Nelson","Executive Officer","Male","Administration & Operations","Jeff","Hoogveld","Executive Officer","Male","Administration & Operations","Jarema","Rakoczy","Executive Officer","Male","Administration & Operations","Marriott","Winchester","Executive Officer","Male","Information Technology","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$5,000 to $9,999","$5,000 to $9,999","$5,000 to $9,999","$2,000 to $4,999","$2,500 to $7,499","11140017707603","No","","Horizons Holdings Internationa","AtoZDatabases",
"AtoZDatabases","09/25/2022","03/25/2023","Women's Venture Capital Fund II","","5455 Wilshire Blvd","5455","","Wilshire","Blvd","","Los Angeles","CA","90036","4201","Gayle Kovacs","Gayle","","Kovacs","Chief Financial Officer","Female","4","8","$9,933,000","5455 Wilshire Blvd","5455","","Wilshire","Blvd","","Los Angeles","CA","90036","4201","(323) 496-6424","N/A","N/A","Los Angeles","500,000 or more","Los Angeles-Long Beach-Anaheim","34.06267","-118.347576","","Venture Capital Companies","Headquarters","","No","6799003","Venture Capital Companies","","","","","","","","","","","","","","","","","","","523910","Miscellaneous Intermediation","","","","","","","","","","","","","","","","","","","No","10 to 24","Private","No","1,000 to 4,999","www.womensvcfund.com","No","","","","","90","9933000","5289999","5289999","3967500","88.0","0.0","33.0","8","8","8","6","0.0","0.0","33.0","Gayle","Kovacs","Chief Financial Officer","Female","Administration & Operations","Edith","Dorsen","Executive Officer","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5,000 to $24,999","$5,000 to $14,999","$7,500 to $19,999","$15,000 to $24,999","$5,000 to $9,999","$10,000 to $24,999","$5,000 to $9,999","$5,000 to $9,999","$7,500 to $19,999","11140013807285","No","","","AtoZDatabases",
"AtoZDatabases","09/25/2022","03/25/2023","Aftermarket Performance Group","","4870 W 2100 S Ste A","4870","W","2100","","S","West Valley City","UT","84120","1369","Mike Sinoway","Mike","","Sinoway","Chief Executive Officer","Male","3","8","$9,830,000","4870 W 2100 S Ste A","4870","W","2100","","S","West Valley City","UT","84120","1369","N/A","N/A","N/A","Salt Lake","100,000 to 249,999","Salt Lake City, UT","40.7262527967998","-112.007444750198","","Software Publishers","Headquarters","","No","7372001","Software Publishers","","","","","","","","","","","","","","","","","","","513210","Software Publishers","","","","","","","","","","","","","","","","","","","No","10 to 24","Private","No","1,000 to 4,999","www.aftermarketperformancegroup.com","No","","","","","84","7039000","0","0","0","0.0","0.0","0.0","8","","","","0.0","0.0","0.0","Mike","Sinoway","Chief Executive Officer","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5,000 to $24,999","$5,000 to $14,999","$7,500 to $19,999","$15,000 to $24,999","$5,000 to $9,999","$10,000 to $24,999","$5,000 to $9,999","$5,000 to $9,999","$7,500 to $19,999","11140024109814","No","","","AtoZDatabases",
"AtoZDatabases","09/25/2022","03/25/2023","Future Graphics Imaging Corporation","Future Graphics LLC","655 N Central Ave Ste 1550","655","N","Central","Ave","","Glendale","CA","91203","1451","Jeff Kanno","Jeff","","Kanno","Chief Technology Officer Chief","Male","8","8","$9,753,000","655 N Central Ave Ste 1550","655","N","Central","Ave","","Glendale","CA","91203","1451","(818) 837-8100","(818) 837-7053","(800) 934-9900","Los Angeles","100,000 to 249,999","Los Angeles-Long Beach-Anaheim","34.15561","-118.25931","","Chemicals & Chemical Preparations Mfg","Headquarters","","Yes","2899001","Chemicals & Chemical Preparations Mfg","5946001","Camera & Photographic Supply Stores","5084123","Printer Cartridges Wholesale","2893001","Printing Ink Mfg","3955001","Carbon Paper & Inked Ribbons Mfg","2899005","Inks Mfg","","","","","","","","","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing","449210","Electronics and Appliance Retailers","423830","Industrial Machinery and Equipment Merchant Wholesalers","325910","Printing Ink Manufacturing","339940","Office Supplies (except Paper) Manufacturing","","","","","","","","","","","No","10 to 24","Public","No","1,000 to 4,999","www.fgimaging.com","No","2006","","","","100","9753000","2337498","2337498","1558332","317.0","0.0","50.0","8","3","3","2","167.0","0.0","50.0","Jeff","Kanno","Chief Technology Officer Chief","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5,000 to $24,999","Up to $999","$7,500 to $19,999","$25,000 to $99,999","$10,000 to $24,999","$10,000 to $24,999","$25,000 to $99,999","$2,000 to $4,999","$20,000 to $49,999","11132545956327","No","","Mitsubishi Chemical Holdings A","AtoZDatabases",
"AtoZDatabases","09/25/2022","03/25/2023","Branded Legacy Inc","","37 N Orange Ave Ste 304","37","N","Orange","Ave","","Orlando","FL","32801","2446","Jermain Strong","Jermain","","Strong","Chief Executive Officer","Male","2","6","$9,425,000","37 N Orange Ave Ste 304","37","N","Orange","Ave","","Orlando","FL","32801","2446","(407) 337-0642","N/A","N/A","Orange","250,000 to 499,999","Orlando-Kissimmee-Sanford, FL","28.5428646","-81.3789517","","Non-Bank Holding Companies","Headquarters","","No","6719001","Non-Bank Holding Companies","","","","","","","","","","","","","","","","","","","551112","Offices of Other Holding Companies","","","","","","","","","","","","","","","","","","","No","5 to 9","Private","No","1,000 to 4,999","www.brandedlegacy.com","No","","","","","84","9425000","0","0","0","0.0","0.0","0.0","6","","","","0.0","0.0","0.0","Jermain","Strong","Chief Executive Officer","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$5,000 to $9,999","$5,000 to $9,999","$5,000 to $9,999","$2,000 to $4,999","$2,500 to $7,499","11140031551937","No","","Branded Legacy Inc","AtoZDatabases",
"AtoZDatabases","09/25/2022","03/25/2023","Aeries Enterprises LLC","","1100 Carillon Pt","1100","","Carillon","Pt","","Kirkland","WA","98033","7412","William Monkman","William","","Monkman","Chief Executive Officer","Male","5","8","$9,381,000","1100 Carillon Pt","1100","","Carillon","Pt","","Kirkland","WA","98033","7412","(425) 739-9997","(425) 739-9998","N/A","King","50,000 to 99,999","Seattle-Tacoma-Bellevue, WA","47.6568225","-122.2067526","","Venture Capital Companies","Headquarters","","Yes","6799003","Venture Capital Companies","3728001","Aircraft Parts & Equipment Mfg","5088002","Aircraft Equipment & Supplies Wholesale","3728006","Aircraft Machine Work Mfg","","","","","","","","","","","","","523910","Miscellaneous Intermediation","336413","Other Aircraft Parts and Auxiliary Equipment Manufacturing","423860","Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers","","","","","","","","","","","","","","","No","10 to 24","Private","No","1,000 to 4,999","","No","1988","","","","100","9381000","4903274","4903274","3677455","91.0","0.0","33.0","8","8","8","6","0.0","0.0","33.0","William","Monkman","Chief Executive Officer","Male","Administration & Operations","Greg","Lewis","Manager","Male","Accounting & Finance","Lou","Mills","Manager","Male","Accounting & Finance","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5,000 to $24,999","$5,000 to $14,999","$7,500 to $19,999","$15,000 to $24,999","$5,000 to $9,999","$10,000 to $24,999","$5,000 to $9,999","$5,000 to $9,999","$7,500 to $19,999","11132554418036","No","","","AtoZDatabases",
"AtoZDatabases","09/25/2022","03/25/2023","North Coast Technology Investors","North Coast LLC","206 S 5th Ave Ste 550","206","S","5th","Ave","","Ann Arbor","MI","48104","2268","Hugo Braun","Hugo","","Braun","Executive Officer","Male","5","8","$9,381,000","206 S 5th Ave Ste 550","206","S","5th","Ave","","Ann Arbor","MI","48104","2268","(989) 832-2300","(734) 662-6261","N/A","Washtenaw","250,000 to 499,999","Ann Arbor, MI","42.280205","-83.7463","","Investors","Headquarters","","No","6799001","Investors","6799003","Venture Capital Companies","","","","","","","","","","","","","","","","","523910","Miscellaneous Intermediation","","","","","","","","","","","","","","","","","","","No","10 to 24","Private","No","1,000 to 4,999","www.northcoastvc.com","No","1999","","","","100","9381000","4706003","4706003","5294253","99.0","0.0","-11.0","8","8","8","9","0.0","0.0","-11.0","Hugo","Braun","Executive Officer","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5,000 to $24,999","$5,000 to $14,999","$7,500 to $19,999","$15,000 to $24,999","$5,000 to $9,999","$10,000 to $24,999","$5,000 to $9,999","$2,000 to $4,999","$7,500 to $19,999","11132554375234","No","","","AtoZDatabases",
"AtoZDatabases","09/25/2022","03/25/2023","Element Global Inc","","6555 Barton Ave","6555","","Barton","Ave","","Los Angeles","CA","90038","2589","Steven Gagnon","Steven","","Gagnon","Chief Executive Officer","Male","5","5","$9,240,000","6555 Barton Ave","6555","","Barton","Ave","","Los Angeles","CA","90038","2589","(757) 306-6090","N/A","N/A","Los Angeles","500,000 or more","Los Angeles-Long Beach-Anaheim","34.087891","-118.334979","","Non-Bank Holding Companies","Headquarters","","Yes","6719001","Non-Bank Holding Companies","2099001","Food Preparations","","","","","","","","","","","","","","","","","551112","Offices of Other Holding Companies","311999","All Other Miscellaneous Food Manufacturing","","","","","","","","","","","","","","","","","No","5 to 9","Public","No","Up to 999","www.elementglobal.com","No","1984","","","","100","3979000","4376900","0","0","-9.0","0.0","0.0","5","5","","","0.0","0.0","0.0","Steven","Gagnon","Chief Executive Officer","Male","Administration & Operations","John","Laviolette","Chief Executive Officer","Male","Administration & Operations","Sasha","Shapiro","President","Male","Administration & Operations","Tony","Najjar","President","Male","Administration & Operations","Kara","Craig","Other Contacts","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$5,000 to $9,999","$5,000 to $9,999","$5,000 to $9,999","$2,000 to $4,999","$2,500 to $7,499","11140017707746","No","","Element Global Inc","AtoZDatabases",
"AtoZDatabases","09/25/2022","03/25/2023","Sunflora Inc","","600 8th Ave W Ste 400","600","","8th","Ave","W","Palmetto","FL","34221","5164","David Perkins","David","","Perkins","Manager","Male","7","7","$9,137,000","600 8th Ave W Ste 400","600","","8th","Ave","W","Palmetto","FL","34221","5164","(727) 235-0720","N/A","N/A","Manatee","Up to 24,999","North Port-Sarasota-Bradenton,","27.516157","-82.572175","","Retail Business Management","Headquarters","","No","8741037","Retail Business Management","","","","","","","","","","","","","","","","","","","551114","Corporate, Subsidiary, and Regional Managing Offices","","","","","","","","","","","","","","","","","","","No","10 to 24","Private","No","1,000 to 4,999","www.getsunmed.com","No","2021","","","","79","16382000","0","0","0","0.0","0.0","0.0","7","","","","0.0","0.0","0.0","David","Perkins","Manager","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5,000 to $24,999","","$2,500 to $7,499","","$5,000 to $9,999","$5,000 to $9,999","$10,000 to $24,999","$2,000 to $4,999","$2,500 to $7,499","11140022412349","No","","","AtoZDatabases",
"AtoZDatabases","09/25/2022","03/25/2023","Bang Holdings Corp","","1400 NE Miami Gardens Dr Ste 208","1400","NE","Miami Gard","Dr","","Miami","FL","33179","4844","Steve Berke","Steve","","Berke","Chief Executive Officer","Male","5","5","$9,086,000","1400 NE Miami Gardens Dr Ste 208","1400","NE","Miami Gard","Dr","","Miami","FL","33179","4844","(305) 600-2417","N/A","N/A","Miami-Dade","250,000 to 499,999","Miami-Fort Lauderdale-Pompano ","25.944324","-80.172555","","Non-Bank Holding Companies","Headquarters","","No","6719001","Non-Bank Holding Companies","7311001","Advertising Agencies","5993001","Tobacco Stores & Stands","","","","","","","","","","","","","","","551112","Offices of Other Holding Companies","541810","Advertising Agencies","459991","Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers","","","","","","","","","","","","","","","No","5 to 9","Public","No","Up to 999","www.bangdigitalmedia.com","No","2014","","","","100","1586000","1506700","0","0","5.0","0.0","0.0","6","6","","","0.0","0.0","0.0","Steve","Berke","Chief Executive Officer","Male","Administration & Operations","Adam","Mutchler","Chief Financial Officer","Male","Administration & Operations","Lee","Molloy","Chief Marketing Officer","Male","Administration & Operations","William","Berke","Executive Officer","Male","Administration & Operations","Todd","Markey","Executive Officer","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$2,500 to $4,999","$5,000 to $14,999","$2,500 to $7,499","$7,500 to $14,999","$2,000 to $4,999","$5,000 to $9,999","$5,000 to $9,999","$2,000 to $4,999","$2,500 to $7,499","11140017707365","No","","Bang Holdings Corp","AtoZDatabases",
